#v_mps,ax_max_machines_mps2
0.0,9.10935576152022
0.25,8.97995725362624
0.5,8.850558745732261
0.75,8.721160237838284
1.0,8.591761729944306
1.25,8.462363222050326
1.5,8.332964714156347
1.75,8.203566206262368
2.0,8.07416769836839
2.25,7.944769190474411
2.5,7.815370682580432
2.75,7.685972174686453
3.0,7.556573666792474
3.25,7.427175158898495
3.5,7.297776651004517
3.75,7.168378143110537
4.0,7.03897963521656
4.25,6.90958112732258
4.5,6.780182619428602
4.75,6.650784111534623
5.0,6.521385603640645
5.25,6.391987095746665
5.5,6.262588587852687
5.75,6.133190079958707
6.0,6.003791572064729
6.25,5.87439306417075
6.5,5.744994556276771
6.75,5.615596048382792
7.0,5.4861975404888135
7.25,5.356799032594835
7.5,5.2274005247008555
7.75,5.098002016806878
8.0,4.968603508912898
8.25,4.83920500101892
8.5,4.709806493124941
8.75,4.580407985230962
9.0,4.451009477336983
9.25,4.321610969443004
9.5,4.192212461549026
9.75,4.062813953655047
10.0,3.933415445761068
10.25,3.804016937867089
10.5,3.67461842997311
10.75,3.545219922079131
11.0,3.415821414185153
11.25,3.286422906291174
11.5,3.157024398397195
11.75,3.027625890503216
12.0,2.898227382609237
12.25,2.768828874715258
12.5,2.6394303668212804
12.75,2.5100318589273014
13.0,2.3806333510333224
13.25,2.2512348431393434
13.5,2.1218363352453644
13.75,1.9924378273513854
14.0,1.8630393194574073
14.25,1.7336408115634283
14.5,1.6042423036694495
14.75,1.4748437957754705
15.0,1.4748437957754705